Category,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31,Layer_32
code_reasoning,1.0000,0.1459,0.1792,0.1311,0.0657,0.0435,0.0826,0.1011,0.3801,0.1302,0.1263,0.2015,0.0629,0.0154,0.0464,0.0097,0.0035,0.0052,0.0020,0.0035,0.0029,0.0032,0.0022,0.0011,0.0026,0.0016,0.0024,0.0008,0.0011,0.0008,0.0003,0.0007
artwork,1.0000,0.0948,0.1080,0.0449,0.0553,0.0346,0.0271,0.0340,0.0639,0.0738,0.0974,0.2048,0.0443,0.0136,0.0271,0.0045,0.0057,0.0038,0.0011,0.0017,0.0018,0.0006,0.0020,0.0005,0.0006,0.0003,0.0012,0.0008,0.0008,0.0012,0.0010,0.0009
celebrity,1.0000,0.1198,0.1503,0.0663,0.0469,0.0354,0.0379,0.0503,0.0931,0.0665,0.1241,0.2703,0.0634,0.0174,0.0385,0.0076,0.0022,0.0035,0.0008,0.0009,0.0014,0.0003,0.0012,0.0002,0.0003,0.0003,0.0008,0.0003,0.0006,0.0006,0.0005,0.0005
numerical_calculation,1.0000,0.1140,0.1646,0.0800,0.0547,0.0446,0.0841,0.1008,0.3071,0.1940,0.1083,0.1875,0.1620,0.0151,0.0468,0.0163,0.0023,0.0059,0.0011,0.0017,0.0009,0.0010,0.0009,0.0003,0.0006,0.0010,0.0008,0.0002,0.0006,0.0004,0.0003,0.0007
text_translation,1.0000,0.1245,0.1791,0.0781,0.0598,0.0399,0.0293,0.0338,0.0474,0.0440,0.0671,0.0772,0.0182,0.0147,0.0156,0.0048,0.0013,0.0031,0.0011,0.0022,0.0026,0.0004,0.0016,0.0004,0.0004,0.0004,0.0029,0.0008,0.0009,0.0007,0.0012,0.0013
count,1.0000,0.1073,0.1650,0.0713,0.0715,0.0628,0.0830,0.0602,0.1871,0.0810,0.2338,0.2605,0.1292,0.0424,0.0912,0.0128,0.0036,0.0047,0.0015,0.0020,0.0017,0.0006,0.0015,0.0005,0.0005,0.0002,0.0008,0.0004,0.0008,0.0011,0.0005,0.0009
color,1.0000,0.1024,0.1431,0.0652,0.0645,0.0504,0.1138,0.1526,0.4783,0.0769,0.3188,0.3628,0.1675,0.0149,0.0964,0.0082,0.0012,0.0025,0.0008,0.0008,0.0008,0.0004,0.0007,0.0002,0.0003,0.0001,0.0004,0.0001,0.0004,0.0004,0.0002,0.0002
commonsense_reasoning,1.0000,0.1044,0.1610,0.0994,0.0625,0.0512,0.0725,0.0944,0.2522,0.1238,0.1129,0.2119,0.0732,0.0290,0.0698,0.0214,0.0069,0.0059,0.0021,0.0026,0.0021,0.0013,0.0023,0.0005,0.0009,0.0005,0.0015,0.0003,0.0007,0.0010,0.0005,0.0006
position,1.0000,0.1062,0.1490,0.0642,0.0522,0.0478,0.0584,0.0932,0.2041,0.0672,0.1631,0.4143,0.1146,0.0300,0.1648,0.0148,0.0023,0.0040,0.0013,0.0014,0.0013,0.0006,0.0012,0.0005,0.0005,0.0001,0.0005,0.0002,0.0004,0.0006,0.0004,0.0004
OCR,1.0000,0.1011,0.1591,0.1780,0.0490,0.0427,0.0736,0.2267,0.3828,0.3091,0.0653,0.1735,0.0468,0.0093,0.0149,0.0087,0.0019,0.0025,0.0008,0.0013,0.0015,0.0017,0.0015,0.0006,0.0011,0.0004,0.0012,0.0003,0.0005,0.0007,0.0005,0.0004
landmark,1.0000,0.0786,0.0806,0.0342,0.0384,0.0310,0.0213,0.0444,0.0703,0.0765,0.1084,0.2213,0.0414,0.0178,0.0251,0.0032,0.0015,0.0029,0.0007,0.0012,0.0011,0.0004,0.0015,0.0004,0.0005,0.0003,0.0012,0.0004,0.0005,0.0009,0.0008,0.0006
scene,1.0000,0.1097,0.1155,0.0504,0.0555,0.0468,0.0391,0.0563,0.1257,0.0666,0.1107,0.2605,0.0552,0.0157,0.0305,0.0054,0.0043,0.0036,0.0011,0.0018,0.0016,0.0007,0.0021,0.0006,0.0008,0.0003,0.0013,0.0005,0.0007,0.0011,0.0007,0.0008
existence,1.0000,0.1033,0.1586,0.0822,0.0872,0.0630,0.1577,0.1201,0.4995,0.1461,0.1875,0.5234,0.0823,0.0093,0.1011,0.0117,0.0016,0.0020,0.0011,0.0014,0.0009,0.0003,0.0009,0.0003,0.0003,0.0001,0.0003,0.0001,0.0002,0.0005,0.0002,0.0004
posters,1.0000,0.1138,0.1296,0.0908,0.0618,0.0403,0.0348,0.0803,0.1453,0.1453,0.1240,0.1992,0.0461,0.0160,0.0345,0.0069,0.0042,0.0045,0.0015,0.0026,0.0029,0.0016,0.0024,0.0013,0.0016,0.0011,0.0017,0.0005,0.0008,0.0012,0.0006,0.0007
